RVB_spsa,RVB_adam,HVA_spsa,HVA_adam
-17.632091138604437,-16.973806011584234,-17.75399621069565,-14.448070629027233
-17.64908523209597,-16.97380601157575,-17.73455514728697,-14.448070629036925
-17.643508867702494,-17.01670149184955,-17.771641005625742,-14.44807062891588
-17.644490597642633,-17.016701491849258,-17.787954438803304,-14.44807062897985
-17.64934391625789,-17.0167014917935,-17.76228121674731,-14.44807062893773
-17.64493946949059,-17.01670149185112,-17.77706413074105,-14.448070628992019
-17.649840449501813,-17.016701491816153,-17.79486125289463,-14.448070628898618
-17.644906844203287,-17.016701491848643,-17.788759455313457,-14.448070629012049
-17.65103851190054,-17.0167014918478,-17.793149971768912,-14.44807062901804
-17.658991832728475,-17.016701491847954,-17.804884234614413,-14.44807062890749
-17.639282658197715,-17.01670149184738,-17.778318478384552,-14.44807062893213
-17.655260280197076,-17.016701491841335,-17.805037245269492,-14.448070628963965
-17.661250487284622,-17.016701491847968,-17.800838401805493,-14.586378135776016
-17.659837725342182,-17.01670149183891,-17.803629032882935,-14.586378135763315
-17.657796789425262,-17.016701491849343,-17.803514243720734,-14.58637813580654
-17.65583838655079,-17.01670149179265,-17.79080286390443,-14.586378135761823
-17.66224111425473,-17.016701491842365,-17.816191842610873,-14.58637813577181
-17.6503459448778,-17.01670149184773,-17.81867253865097,-14.586378135798931
-17.66934534916558,-17.01670149184542,-17.810768741778737,-14.586378135771334
-17.65657752016283,-17.01670149184627,-17.803443685668654,-14.586378135775837
-17.680017775519396,-17.01670149183179,-17.827766307737203,-14.586378135796725
-17.68752805247074,-17.016701491778587,-17.81580411776003,-14.586378135795677
-17.674138992212786,-17.016701491848625,-17.836330956597816,-14.586378135774735
-17.67742282561756,-17.01670149176345,-17.838161103332453,-14.586378135795519
-17.692381452498115,-17.01670149186242,-17.827560276752383,-14.586378135772133
-17.68007351194875,-17.01670149182868,-17.845462138907365,-14.586378135764397
-17.699850008527797,-17.016701491819664,-17.824456359327655,-14.586378135822063
-17.69976057088829,-17.058194913860724,-17.845650499629034,-14.58637813575776
