,RVB_adam
712,-17.979293834394454
713,-17.979293834394433
714,-17.979293834394436
715,-17.980760047173558
716,-17.98076004717222
717,-17.98076004717625
718,-17.980760047173554
719,-17.98076004717355
720,-17.980760047174048
721,-17.980760047149825
722,-17.98076004717229
723,-17.980760047173472
724,-17.980760047173558
725,-17.98076004717356
726,-17.98076004717355
727,-17.98076004717354
728,-17.982137884420663
729,-17.982137884419654
730,-17.982137884423327
731,-17.982137884420666
732,-17.98213788442066
733,-17.982137884421398
734,-17.9821378843978
735,-17.982137884419437
736,-17.98213788442066
737,-17.982137884420652
738,-17.982137884420656
739,-17.982137884420663
740,-17.98213788442066
741,-17.983432464198785
742,-17.98343246419811
743,-17.98343246420139
744,-17.983432464198774
745,-17.983432464198778
746,-17.983432464199733
747,-17.983432464176765
748,-17.98343246419762
749,-17.983432464198888
750,-17.98343246419878
751,-17.98343246419879
752,-17.983432464198778
753,-17.98343246419878
754,-17.98464858087685
755,-17.984648580876463
756,-17.9846485808794
757,-17.98464858087685
758,-17.984648580876847
759,-17.984648580877984
760,-17.98464858085564
761,-17.984648580875778
762,-17.984648580877025
763,-17.984648580876843
764,-17.984648580876843
765,-17.984648580876843
766,-17.98464858087685
767,-17.98579074230617
768,-17.985790742306037
769,-17.985790742308644
770,-17.98579074230617
771,-17.985790742306172
772,-17.985790742307454
773,-17.985790742285783
774,-17.985790742305177
775,-17.985790742306385
776,-17.985790742306175
777,-17.985790742306165
778,-17.985790742306158
779,-17.985790742306158
780,-17.98686295529252
781,-17.98686295529264
782,-17.98686295529491
783,-17.986862955292526
784,-17.98686295529252
785,-17.986862955293965
786,-17.98686295527293
787,-17.98686295529167
788,-17.98686295529279
789,-17.98686295529253
790,-17.98686295529253
791,-17.986862955292526
792,-17.986862955292512
793,-17.987868893278627
794,-17.987868893278964
795,-17.987868893280915
796,-17.987868893278627
797,-17.98786889327863
798,-17.987868893280183
799,-17.987868893259805
800,-17.9878688932779
801,-17.987868893278893
802,-17.98786889327863
803,-17.987868893278634
804,-17.98786889327862
805,-17.987868893278616
806,-17.988811891085966
807,-17.988811891086502
808,-17.98881189108813
809,-17.988811891085962
810,-17.988811891085966
811,-17.988811891087632
812,-17.988811891067904
813,-17.988811891085362
814,-17.98881189108624
815,-17.98881189108596
816,-17.988811891085955
817,-17.988811891085962
818,-17.988811891085955
819,-17.989694998877063
820,-17.989694998877784
821,-17.989694998879106
822,-17.989694998877063
823,-17.989694998877066
824,-17.98969499887881
825,-17.98969499885974
826,-17.989694998876576
827,-17.989694998877283
828,-17.98969499887707
829,-17.989694998877066
830,-17.989694998877056
831,-17.989694998877056
832,-17.990521028100755
833,-17.990521028101632
834,-17.990521028102673
835,-17.990521028100744
836,-17.99052102810075
837,-17.990521028102563
838,-17.99052102808415
839,-17.99052102810041
840,-17.990521028100904
841,-17.99052102810076
842,-17.990521028100755
843,-17.99052102810076
844,-17.990521028100765
845,-17.991292693981464
846,-17.99129269398248
847,-17.99129269398325
848,-17.991292693981457
849,-17.991292693981457
850,-17.99129269398332
851,-17.991292693965573
852,-17.99129269398123
853,-17.99129269398159
854,-17.99129269398146
855,-17.991292693981457
856,-17.991292693981464
857,-17.99129269398146
858,-17.99201269710521
859,-17.99201269710635
860,-17.992012697106862
861,-17.992012697105217
862,-17.992012697105206
863,-17.992012697107082
864,-17.992012697089997
865,-17.992012697105118
866,-17.992012697105253
